Round,Cid,Size of parameters,Size of config,Loss,Accuracy
8,16,1147776,364,2.038584,0.483796
8,4,1147776,360,1.175151,0.575521
9,19,1147776,364,2.181657,0.332031
9,5,1147776,360,1.162699,0.583333
9,14,1147776,360,1.373836,0.5
9,10,1147776,364,1.869901,0.435937
9,2,1147776,364,1.99106,0.441964
9,3,1147776,364,2.11086,0.382812
9,13,1147776,360,0.989178,0.621711
9,9,1147776,364,2.207369,0.291118
9,11,1147776,360,1.061658,0.654687
9,18,1147776,364,1.526098,0.490625
9,0,1147776,364,1.973233,0.493421
9,17,1147776,364,2.180751,0.226562
9,6,1147776,364,1.465375,0.554688
9,7,1147776,364,1.439491,0.571023
9,12,1147776,364,1.514221,0.57
9,15,1147776,364,1.887946,0.533854
9,16,1147776,364,2.069185,0.472222
9,1,1147776,364,1.58943,0.592105
9,8,1147776,360,1.416412,0.484375
9,4,1147776,360,1.130268,0.589844
10,14,1147776,364,1.574479,0.523438
10,6,1147776,364,1.770421,0.546875
10,5,1147776,364,1.332285,0.58125
10,13,1147776,360,0.908264,0.677632
10,19,1147776,364,2.186408,0.324219
10,17,1147776,364,2.187861,0.357422
10,2,1147776,364,2.081555,0.459821
10,3,1147776,360,1.148651,0.607812
10,10,1147776,364,1.963914,0.420312
10,16,1147776,364,2.113777,0.424769
10,7,1147776,364,1.678028,0.508523
10,8,1147776,364,1.646759,0.461806
10,9,1147776,364,2.207057,0.317434
10,15,1147776,360,1.119232,0.625
10,11,1147776,364,1.26955,0.635938
10,1,1147776,360,0.94717,0.646382
10,4,1147776,364,1.350017,0.58724
10,0,1147776,360,1.119661,0.611842
10,18,1147776,360,1.24545,0.540625
10,12,1147776,364,1.827104,0.5375
11,15,1147776,364,1.364831,0.638021
11,19,1147776,360,1.360772,0.550781
11,6,1147776,360,1.203479,0.598958
11,1,1147776,364,1.181924,0.621711
11,5,1147776,364,1.64774,0.547917
11,0,1147776,364,1.369924,0.572368
11,10,1147776,364,1.920034,0.371875
11,3,1147776,364,1.463325,0.575
11,14,1147776,360,1.293225,0.515625
11,2,1147776,360,1.362762,0.529762
11,7,1147776,364,1.84492,0.505682
11,8,1147776,364,1.867198,0.4375
11,11,1147776,364,1.617958,0.517188
11,9,1147776,364,2.172332,0.373355
11,17,1147776,360,1.287497,0.519531
11,13,1147776,364,1.245503,0.649671
11,12,1147776,364,1.920024,0.535
11,18,1147776,360,1.282789,0.529687
11,16,1147776,364,2.108636,0.429398
11,4,1147776,364,1.732952,0.559896
12,14,1147776,364,1.499188,0.546875
12,19,1147776,364,1.504232,0.535156
12,15,1147776,360,1.088256,0.609375
12,17,1147776,364,1.487922,0.513672
12,7,1147776,364,1.80983,0.477273
12,0,1147776,364,1.623587,0.53125
12,8,1147776,360,1.4295,0.493056
12,6,1147776,360,1.295374,0.533854
12,1,1147776,364,1.495371,0.555921
12,3,1147776,364,1.679588,0.554688
12,9,1147776,364,2.169121,0.350329
12,11,1147776,360,0.964753,0.696875
12,12,1147776,364,1.949105,0.505
12,4,1147776,360,1.136618,0.596354
12,5,1147776,364,1.846981,0.472917
12,16,1147776,360,1.213666,0.56713
12,18,1147776,364,1.399328,0.515625
12,13,1147776,364,1.62151,0.601974
12,2,1147776,364,1.479864,0.53869
12,10,1147776,364,1.922005,0.365625
13,15,1147776,364,1.232149,0.625
13,17,1147776,364,1.696538,0.496094
13,4,1147776,360,1.111108,0.597656
13,2,1147776,364,1.703236,0.528274
13,9,1147776,360,1.487333,0.447368
13,5,1147776,360,1.086051,0.575
13,8,1147776,360,1.447017,0.475694
13,14,1147776,364,1.731272,0.5625
13,0,1147776,364,1.717471,0.513158
13,19,1147776,364,1.744703,0.5
13,10,1147776,364,1.939534,0.367188
13,13,1147776,360,0.984527,0.638158
13,3,1147776,364,1.751987,0.534375
13,18,1147776,364,1.589559,0.498437
13,6,1147776,364,1.474142,0.518229
13,11,1147776,364,1.201268,0.657813
13,1,1147776,364,1.607504,0.557566
13,7,1147776,360,1.148209,0.598011
13,16,1147776,364,1.445694,0.546296
13,12,1147776,364,1.944662,0.54
14,14,1147776,364,1.796737,0.544271
14,19,1147776,364,1.84481,0.507812
14,6,1147776,364,1.668109,0.528646
14,1,1147776,364,1.606262,0.577303
14,9,1147776,364,1.52183,0.455592
14,3,1147776,360,1.087039,0.629687
14,10,1147776,364,1.93116,0.359375
14,4,1147776,360,1.088848,0.605469
14,13,1147776,364,1.106903,0.629934
14,8,1147776,360,1.402148,0.498264
14,5,1147776,364,1.384023,0.545833
14,15,1147776,364,1.469457,0.632812
14,0,1147776,364,1.721323,0.496711
14,7,1147776,360,1.166111,0.599432
14,16,1147776,360,1.13224,0.616898
14,2,1147776,364,1.81017,0.50744
14,17,1147776,364,1.772084,0.480469
14,18,1147776,360,1.184546,0.54375
14,11,1147776,364,1.461414,0.629687
14,12,1147776,364,1.942473,0.53625
15,19,1147776,364,1.842112,0.523438
15,3,1147776,364,1.214123,0.6125
15,14,1147776,360,1.111781,0.596354
15,15,1147776,364,1.611888,0.630208
15,9,1147776,364,1.684447,0.463816
15,2,1147776,364,1.838325,0.501488
15,10,1147776,364,1.90479,0.390625
15,0,1147776,360,1.01619,0.639803
15,17,1147776,364,1.805309,0.488281
15,7,1147776,364,1.304015,0.588068
15,16,1147776,360,1.11811,0.628472
15,8,1147776,364,1.554665,0.487847
15,6,1147776,360,1.106331,0.622396
15,4,1147776,364,1.265902,0.604167
15,13,1147776,364,1.369111,0.572368
15,5,1147776,360,1.056765,0.604167
15,11,1147776,364,1.550082,0.64375
15,1,1147776,360,0.884532,0.689145
15,12,1147776,364,1.955449,0.5075
15,18,1147776,364,1.34648,0.526563
16,19,1147776,364,1.836554,0.542969
16,14,1147776,364,1.320738,0.578125
16,6,1147776,364,1.245599,0.614583
16,15,1147776,360,1.08204,0.627604
16,11,1147776,360,0.94532,0.698438
16,0,1147776,364,1.206148,0.631579
16,8,1147776,364,1.659958,0.524306
