Server round,Layer,Similarity
1,0,0.9996655226989528
1,1,0.9811771486013704
1,2,0.9998605734154223
1,3,0.9208295745167857
1,4,0.9990845936797371
1,5,0.8900940109001337
1,6,0.9449764609816184
1,7,0.15319611368454902
2,0,0.9994034329562167
2,1,0.9848607631992791
2,2,0.9997468698322088
2,3,0.9715359361215077
2,4,0.9987058766656857
2,5,0.9513298177105661
2,6,0.9564608396191038
2,7,0.5151532418781979
3,0,0.9993447576125495
3,1,0.9914509160928807
3,2,0.9998293779351592
3,3,0.9813283137323642
3,4,0.9988624222067419
3,5,0.9752861627310342
3,6,0.9647334749825752
3,7,0.7546656843716134
4,0,0.9992932501470942
4,1,0.9824314848820421
4,2,0.9996773898170064
4,3,0.9841875784569282
4,4,0.998835243015444
4,5,0.9792430937070445
4,6,0.9851286764750301
4,7,0.770713111474286
5,0,0.9996351070219592
5,1,0.9908067402636281
5,2,0.9993686670856633
5,3,0.991968195467709
5,4,0.9988803548460153
5,5,0.9788455498375129
5,6,0.9849055836483523
5,7,0.8487245673238021
6,0,0.9995329250159225
6,1,0.9948388634479701
6,2,0.9991483453082379
6,3,0.9960811092801135
6,4,0.9986167661603221
6,5,0.9809240115980803
6,6,0.9897625093098603
6,7,0.8710806153915452
7,0,0.9996464254426239
7,1,0.9973032700730058
7,2,0.9987010454356442
7,3,0.9962287897811809
7,4,0.9984086496395665
7,5,0.9881205802528744
7,6,0.9898199671905221
7,7,0.9041025311110777
8,0,0.9997433091431659
8,1,0.9929316982178511
8,2,0.998660070499664
8,3,0.9957143953297473
8,4,0.9981903739868078
8,5,0.9833439962929202
8,6,0.9901117362322732
8,7,0.8968046748351192
9,0,0.9996551174169094
9,1,0.995611322592004
9,2,0.9985788939171982
9,3,0.9964837519168422
9,4,0.9984405291567677
9,5,0.9895088002935691
9,6,0.9944553297764562
9,7,0.9533466422840338
10,0,0.9995845058533414
10,1,0.9966603110141641
10,2,0.9980332025755376
10,3,0.9958915591283547
10,4,0.9983547953686992
10,5,0.9883235760276107
10,6,0.9947249660731492
10,7,0.9526079734893299
11,0,0.9996766556184133
11,1,0.9964835799079875
11,2,0.9983603293521527
11,3,0.9971845857046335
11,4,0.9983285461635392
11,5,0.9898170354265722
11,6,0.9951332648012094
11,7,0.9651747823579154
12,0,0.9997386580963532
12,1,0.9975440613976797
12,2,0.9981593010715217
12,3,0.996798137854709
12,4,0.9983296130767614
12,5,0.990190077137482
12,6,0.9952107390993546
12,7,0.9623180031103997
13,0,0.9995412774467831
13,1,0.9968955673389011
13,2,0.9977768919734152
13,3,0.9969844129741893
13,4,0.9980330739874618
13,5,0.9873498600888028
13,6,0.9944980120703512
13,7,0.9585516103775809
14,0,0.999664812722949
14,1,0.9971687830265751
14,2,0.9976041152402089
14,3,0.9975499135091274
14,4,0.997831763268954
14,5,0.9890157009817173
14,6,0.9945931775203142
14,7,0.9572686123286015
15,0,0.9996026810682731
15,1,0.9957250294415823
15,2,0.997265084745897
15,3,0.996674750059329
15,4,0.9975863211178195
15,5,0.9872003524090665
15,6,0.9942634423720946
15,7,0.9625118679708078
16,0,0.9995878072852648
16,1,0.9979064928893338
16,2,0.9974869960523093
16,3,0.9981238848186962
16,4,0.9981127946520502
16,5,0.9933526662523842
16,6,0.997118276978045
16,7,0.9786831033782747
17,0,0.9997275717319204
17,1,0.9977748681770368
17,2,0.9974010592149435
17,3,0.9982572884747024
17,4,0.99795235806047
17,5,0.9927599828786321
17,6,0.9965475426109851
17,7,0.9812745064711536
18,0,0.9996751510224239
18,1,0.9970033027223716
18,2,0.9971123507844109
18,3,0.997353212937695
18,4,0.9976391675739548
18,5,0.9910213212217657
18,6,0.9956321576070725
18,7,0.9741269257742835
19,0,0.9996803008387959
19,1,0.9981413943346243
19,2,0.9966781728730449
19,3,0.9981375228781387
19,4,0.997584397406109
19,5,0.9922352693884653
19,6,0.9967987687138901
19,7,0.9784500735575344
20,0,0.9996470221410793
20,1,0.9976700775767586
20,2,0.9972553503255822
20,3,0.9981881689216509
20,4,0.9976232716554402
20,5,0.9939150382849277
20,6,0.9973027061554897
20,7,0.9847243169915911
