Round,Cid,Size of parameters,Size of config,Loss,Accuracy
8,9,1400,232,2.071544,0.164474
8,8,1400,232,1.789631,0.383681
8,0,1400,232,1.516833,0.511513
8,10,1400,232,1.833931,0.354687
8,17,1400,232,1.976833,0.201172
8,1,1400,232,1.21383,0.554276
8,2,1400,232,1.602256,0.452381
8,3,1400,232,1.521527,0.459375
8,7,1400,232,1.522287,0.507102
8,12,1400,232,1.545927,0.445
8,18,1400,232,1.515188,0.435937
8,11,1400,232,1.335939,0.55625
8,4,1400,232,1.488728,0.50651
8,16,1400,232,1.627802,0.430556
9,19,1400,232,1.940959,0.261719
9,15,1400,232,1.606256,0.505208
9,6,1400,232,2.008914,0.338542
9,5,1400,232,1.649795,0.364583
9,17,1400,232,1.995427,0.199219
9,14,1400,232,1.791788,0.450521
9,4,1400,232,1.256085,0.570312
9,10,1400,232,1.842706,0.346875
9,8,1400,232,1.719121,0.371528
9,3,1400,232,1.524598,0.442188
9,1,1400,232,1.237659,0.532895
9,11,1400,232,1.163385,0.642188
9,9,1400,232,2.059407,0.175987
9,2,1400,232,1.603791,0.465774
9,13,1400,232,1.228018,0.552632
9,7,1400,232,1.516609,0.497159
9,18,1400,232,1.52691,0.439063
9,0,1400,232,1.526634,0.503289
9,12,1400,232,1.529404,0.4425
9,16,1400,232,1.602367,0.447917
10,6,1400,232,1.995112,0.268229
10,19,1400,232,1.956651,0.253906
10,15,1400,232,1.555124,0.510417
10,14,1400,232,1.81699,0.453125
10,17,1400,232,1.970901,0.228516
10,8,1400,232,1.743517,0.388889
10,1,1400,232,1.245993,0.527961
10,12,1400,232,1.563197,0.44375
10,5,1400,232,1.637612,0.39375
10,0,1400,232,1.416197,0.508224
10,2,1400,232,1.55388,0.455357
10,18,1400,232,1.61048,0.348438
10,13,1400,232,1.206339,0.570724
10,11,1400,232,1.186464,0.632812
10,4,1400,232,1.242955,0.56901
10,9,1400,232,2.056672,0.217105
10,3,1400,232,1.592871,0.434375
10,10,1400,232,1.838227,0.354687
10,16,1400,232,1.649937,0.427083
10,7,1400,232,1.481522,0.508523
11,19,1400,232,1.924874,0.300781
11,17,1400,232,1.884982,0.304688
11,5,1400,232,1.628737,0.391667
11,6,1400,232,1.906306,0.3125
11,7,1400,232,1.481791,0.50142
11,14,1400,232,1.671153,0.463542
11,15,1400,232,1.559194,0.507812
11,0,1400,232,1.430015,0.508224
11,13,1400,232,1.172309,0.585526
11,1,1400,232,1.260445,0.519737
11,9,1400,232,2.060333,0.240132
11,2,1400,232,1.498298,0.488095
11,18,1400,232,1.347281,0.48125
11,3,1400,232,1.564109,0.440625
11,4,1400,232,1.245914,0.561198
11,10,1400,232,1.850807,0.346875
11,11,1400,232,1.206074,0.629687
11,8,1400,232,1.727273,0.369792
11,12,1400,232,1.547105,0.44625
11,16,1400,232,1.612945,0.434028
12,19,1400,232,1.918788,0.328125
12,14,1400,232,1.69248,0.458333
12,15,1400,232,1.557703,0.507812
12,6,1400,232,1.724756,0.375
12,17,1400,232,1.905783,0.275391
12,3,1400,232,1.541982,0.440625
12,2,1400,232,1.481182,0.485119
12,0,1400,232,1.438918,0.514803
12,9,1400,232,2.059953,0.203947
12,13,1400,232,1.154341,0.597039
12,5,1400,232,1.639717,0.347917
12,1,1400,232,1.248738,0.53125
12,11,1400,232,1.082276,0.653125
12,10,1400,232,1.836342,0.354687
12,7,1400,232,1.488543,0.5
12,18,1400,232,1.319553,0.4875
12,8,1400,232,1.623838,0.413194
12,4,1400,232,1.198166,0.58724
12,12,1400,232,1.527135,0.44875
12,16,1400,232,1.482588,0.505787
13,19,1400,232,1.935915,0.332031
13,15,1400,232,1.53407,0.513021
13,14,1400,232,1.679888,0.46875
13,5,1400,232,1.56665,0.420833
13,13,1400,232,1.117112,0.588816
13,8,1400,232,1.727479,0.388889
13,17,1400,232,1.87021,0.302734
13,2,1400,232,1.501364,0.486607
13,9,1400,232,1.822262,0.370066
13,6,1400,232,1.736085,0.356771
13,1,1400,232,1.247029,0.524671
13,0,1400,232,1.432564,0.516447
13,3,1400,232,1.532523,0.440625
13,11,1400,232,1.060807,0.659375
13,10,1400,232,1.839608,0.353125
13,18,1400,232,1.31794,0.4875
13,12,1400,232,1.534782,0.44625
13,7,1400,232,1.390896,0.525568
13,4,1400,232,1.164001,0.596354
13,16,1400,232,1.481406,0.506944
14,14,1400,232,1.681131,0.463542
14,6,1400,232,1.735752,0.356771
14,19,1400,232,1.939421,0.328125
14,0,1400,232,1.429982,0.526316
14,15,1400,232,1.546831,0.507812
14,5,1400,232,1.567673,0.416667
14,17,1400,232,1.890574,0.296875
14,8,1400,232,1.474766,0.472222
14,13,1400,232,1.128236,0.588816
14,7,1400,232,1.352147,0.525568
14,18,1400,232,1.256482,0.525
14,4,1400,232,1.151141,0.598958
14,11,1400,232,1.057041,0.6625
14,12,1400,232,1.543409,0.45
14,9,1400,232,1.83235,0.366776
14,1,1400,232,1.234326,0.534539
14,3,1400,232,1.554614,0.473438
14,2,1400,232,1.465193,0.5
14,10,1400,232,1.835292,0.353125
14,16,1400,232,1.508794,0.503472
15,19,1400,232,1.930761,0.335938
15,6,1400,232,1.60822,0.450521
15,15,1400,232,1.53634,0.513021
15,7,1400,232,1.351849,0.536932
15,14,1400,232,2.040554,0.434896
15,11,1400,232,1.093522,0.64375
15,5,1400,232,1.527213,0.391667
15,17,1400,232,1.88595,0.296875
15,10,1400,232,1.840106,0.351562
15,0,1400,232,1.237191,0.554276
15,8,1400,232,1.485281,0.467014
15,9,1400,232,1.824294,0.370066
15,3,1400,232,1.544459,0.4875
15,1,1400,232,1.095442,0.600329
15,12,1400,232,1.530138,0.45
15,2,1400,232,1.495439,0.482143
15,13,1400,232,1.093557,0.603618
15,18,1400,232,1.255011,0.5125
15,16,1400,232,1.338747,0.532407
15,4,1400,232,1.133619,0.615885
16,19,1400,232,1.892177,0.332031
16,6,1400,232,1.61039,0.440104
16,15,1400,232,1.45142,0.510417
16,5,1400,232,1.526724,0.391667
16,14,1400,232,2.020407,0.434896
16,17,1400,232,1.883244,0.306641
16,18,1400,232,1.241041,0.53125
16,9,1400,232,1.692062,0.404605
16,2,1400,232,1.473389,0.49256
16,11,1400,232,1.169715,0.607812
16,10,1400,232,1.834141,0.35625
16,13,1400,232,1.24944,0.542763
16,3,1400,232,1.356204,0.509375
16,0,1400,232,1.264209,0.547697
16,8,1400,232,1.500013,0.470486
16,1,1400,232,1.083966,0.598684
16,12,1400,232,1.547281,0.4375
16,16,1400,232,1.328782,0.534722
16,7,1400,232,1.353778,0.536932
16,4,1400,232,1.116942,0.606771
17,19,1400,232,1.928675,0.328125
17,14,1400,232,1.999009,0.434896
17,15,1400,232,1.454544,0.510417
17,5,1400,232,1.531161,0.3875
17,13,1400,232,0.995317,0.620066
17,0,1400,232,1.254053,0.552632
17,17,1400,232,1.77117,0.361328
17,6,1400,232,1.581706,0.458333
17,9,1400,232,1.636339,0.424342
17,8,1400,232,1.481474,0.477431
17,1,1400,232,1.102854,0.590461
17,10,1400,232,1.846036,0.348438
17,3,1400,232,1.341826,0.520312
17,11,1400,232,0.997493,0.670312
17,18,1400,232,1.239559,0.534375
17,2,1400,232,1.438163,0.504464
17,4,1400,232,1.119753,0.608073
17,12,1400,232,1.532374,0.45
17,7,1400,232,1.355488,0.53267
17,16,1400,232,1.424022,0.537037
18,19,1400,232,1.914269,0.332031
18,14,1400,232,1.627585,0.473958
18,17,1400,232,1.779865,0.371094
