Round,Cid,Size of parameters,Size of config,Loss,Accuracy
7,10,1276408,56,1.23196,0.5425
7,6,1276408,56,2.948815,0.091797
8,19,1276408,56,1.583777,0.388393
8,12,1276408,56,1.677027,0.439236
8,1,1276408,56,1.599055,0.444853
8,13,1276408,56,1.529609,0.428571
8,11,1276408,56,1.418681,0.578125
8,3,1276408,56,1.664669,0.359375
8,2,1276408,56,1.457552,0.518092
8,18,1276408,56,1.201609,0.635417
8,0,1276408,56,1.685647,0.300595
8,5,1276408,56,2.378337,0.03267
8,9,1276408,56,1.789206,0.399671
8,4,1276408,56,1.975008,0.220486
8,8,1276408,56,1.714442,0.294118
8,15,1276408,56,1.997176,0.157895
8,10,1276408,56,1.805956,0.28125
8,17,1276408,56,1.655484,0.408088
8,16,1276408,56,1.990945,0.110119
8,14,1276408,56,1.653783,0.315217
8,7,1276408,56,1.637466,0.309524
8,6,1276408,56,1.295811,0.618164
9,16,1276408,56,1.703974,0.291667
9,9,1276408,56,1.98487,0.289474
9,19,1276408,56,2.255972,0.120536
9,15,1276408,56,1.831762,0.273026
9,12,1276408,56,2.156133,0.173611
9,18,1276408,56,2.691483,0.045833
9,1,1276408,56,2.057751,0.259191
9,3,1276408,56,1.984536,0.316406
9,8,1276408,56,2.0349,0.204044
9,11,1276408,56,2.549541,0.059896
9,13,1276408,56,2.267201,0.15625
9,4,1276408,56,1.547464,0.473958
9,0,1276408,56,1.994656,0.235119
9,17,1276408,56,2.053339,0.248162
9,7,1276408,56,2.142585,0.227679
9,2,1276408,56,2.36519,0.154605
9,5,1276408,56,1.203088,0.602273
9,14,1276408,56,1.974766,0.209239
9,10,1276408,56,1.616071,0.275
9,6,1276408,56,2.590496,0.084961
10,19,1276408,56,1.442952,0.535714
10,13,1276408,56,1.35942,0.5625
10,12,1276408,56,1.917044,0.263889
10,7,1276408,56,1.387087,0.556548
10,1,1276408,56,1.604137,0.386029
10,4,1276408,56,1.837321,0.255208
10,16,1276408,56,1.480501,0.452381
10,9,1276408,56,2.178855,0.115132
10,3,1276408,56,1.571968,0.408203
10,5,1276408,56,2.126327,0.066761
10,11,1276408,56,2.012488,0.265625
10,17,1276408,56,1.539132,0.476103
10,15,1276408,56,1.728761,0.361842
10,0,1276408,56,1.353806,0.528274
10,14,1276408,56,1.236797,0.634511
10,10,1276408,56,1.559213,0.43375
10,18,1276408,56,1.592693,0.40625
10,2,1276408,56,1.607493,0.424342
10,6,1276408,56,1.694044,0.358398
10,8,1276408,56,1.430467,0.503676
11,1,1276408,56,1.31036,0.518382
11,19,1276408,56,1.652493,0.3125
11,5,1276408,56,2.311296,0.107955
11,11,1276408,56,1.824639,0.226562
11,16,1276408,56,2.396214,0.028274
11,13,1276408,56,1.456816,0.441964
11,8,1276408,56,1.640536,0.395221
11,3,1276408,56,1.513052,0.441406
11,18,1276408,56,1.194268,0.58125
11,7,1276408,56,1.69945,0.345238
11,0,1276408,56,1.368988,0.5
11,17,1276408,56,1.305918,0.560662
11,2,1276408,56,1.25293,0.578947
11,9,1276408,56,1.942291,0.189145
11,12,1276408,56,1.801529,0.319444
11,4,1276408,56,1.851562,0.284722
11,10,1276408,56,1.792285,0.37625
11,15,1276408,56,2.187496,0.161184
11,14,1276408,56,1.30474,0.586957
11,6,1276408,56,1.264934,0.552734
12,19,1276408,56,1.767738,0.276786
12,3,1276408,56,2.099913,0.080078
12,18,1276408,56,2.397823,0.091667
12,16,1276408,56,0.782855,0.818452
12,15,1276408,56,1.452323,0.427632
12,11,1276408,56,1.529319,0.497396
12,8,1276408,56,1.705022,0.349265
12,7,1276408,56,1.585377,0.349702
12,9,1276408,56,1.472615,0.529605
12,1,1276408,56,1.92554,0.318015
12,13,1276408,56,1.702089,0.375
12,0,1276408,56,1.905324,0.263393
12,2,1276408,56,2.130547,0.210526
12,5,1276408,56,1.667771,0.288352
12,14,1276408,56,1.970722,0.199728
12,4,1276408,56,1.577146,0.397569
12,12,1276408,56,1.596249,0.487847
12,10,1276408,56,1.524144,0.42125
