Round,Cid,Size of parameters,Loss,Accuracy
1,15,92064,3.47032591012808,0.0
1,23,92064,2.349989195664724,0.3359375
1,41,92064,1.8277772903442382,0.76875
1,25,92064,2.9388469755649567,0.0
1,42,92064,2.873462518056234,0.1125
1,37,92064,2.8180206775665284,0.225
1,2,92064,2.28929534639631,0.19375
1,30,92064,2.0794577449560165,0.42578125
1,32,92064,2.256521701812744,0.09375
1,35,92064,2.522984352978793,0.15198863636363635
1,26,92064,2.3671618236435785,0.0
1,28,92064,1.9093435177436242,0.3161057692307692
1,10,92064,2.792608432471752,0.0
1,5,92064,1.899189218878746,0.3642578125
1,11,92064,2.213302502265343,0.5516826923076923
1,0,92064,3.5174569487571716,0.0
1,31,92064,2.4675051804744834,0.0
1,47,92064,1.9987442344427109,0.138671875
1,22,92064,2.5006004333496095,0.44375
1,29,92064,1.8345754941304524,0.6145833333333334
1,1,92064,2.099306771629735,0.25493421052631576
1,16,92064,1.9398657977581024,0.078125
1,12,92064,2.675445540746053,0.0
1,7,92064,1.9044801870981851,0.47291666666666665
1,24,92064,3.0632743750299727,0.0
1,18,92064,2.0211079120635986,0.0
1,38,92064,2.4402883894303264,0.2702205882352941
1,19,92064,3.0444016797201976,0.07738095238095238
1,49,92064,2.0697041749954224,0.0859375
1,9,92064,2.519583887524075,0.18489583333333334
1,20,92064,3.497655898332596,0.0
1,3,92064,3.1051727817172097,0.0
1,43,92064,2.8711033344268797,0.0
1,8,92064,1.9539495215696447,0.27849264705882354
1,40,92064,2.34476637840271,0.0
1,14,92064,2.2944550249311657,0.3298611111111111
1,46,92064,2.0818546613057456,0.0
1,36,92064,1.9813911744526453,0.0
1,13,92064,1.9442209137810602,0.1909722222222222
1,27,92064,1.8712931871414185,0.2875
1,21,92064,2.7392609119415283,0.0
1,4,92064,2.5621129274368286,0.12239583333333333
1,17,92064,2.1013523638248444,0.703125
1,45,92064,2.594309156591242,0.3053977272727273
1,39,92064,2.1078318988575653,0.23713235294117646
1,34,92064,2.97449651631442,0.0
1,33,92064,2.1085261980692547,0.0
1,48,92064,2.6998318831125894,0.0
1,44,92064,1.8932556410630543,0.3663194444444444
1,6,92064,2.1055091331745017,0.3297413793103448
2,17,92064,1.2520367801189423,0.28515625
2,22,92064,0.9255729675292969,0.5875
2,42,92064,2.130344200134277,0.36666666666666664
2,29,92064,2.1308769385019937,0.020833333333333332
2,20,92064,5.6068132519721985,0.0
2,45,92064,3.3914871974424883,0.03835227272727273
2,36,92064,3.7666312285831998,0.0
2,47,92064,3.0378823429346085,0.0
2,30,92064,3.74720798432827,0.0546875
2,35,92064,3.1212245009162207,0.08806818181818182
2,14,92064,3.3156985441843667,0.020833333333333332
2,19,92064,0.5926451569511777,0.9077380952380952
2,34,92064,3.2012249556454746,0.39204545454545453
2,10,92064,2.614154763519764,0.501953125
2,31,92064,2.7503415815757983,0.25757575757575757
2,48,92064,1.556976929306984,0.48828125
2,33,92064,4.356373929977417,0.0
2,9,92064,3.9292332066429987,0.1909722222222222
2,32,92064,3.805131141956036,0.0
2,26,92064,4.057436446348826,0.0842013888888889
2,23,92064,1.643921782573064,0.3828125
2,15,92064,5.3629452632023735,0.0
2,16,92064,3.7026102542877197,0.0
2,6,92064,2.7614382710950127,0.04418103448275862
2,21,92064,2.854191505908966,0.3609375
2,0,92064,5.7274380922317505,0.0
2,11,92064,2.9081303981634288,0.06129807692307692
2,2,92064,2.5205709593636647,0.13839285714285715
2,39,92064,3.293625270619112,0.05514705882352941
2,37,92064,2.790852657953898,0.31875
2,38,92064,1.6578859231051277,0.4430147058823529
2,49,92064,4.318938165903091,0.0078125
2,3,92064,4.4503640333811445,0.0
2,18,92064,4.485961675643921,0.0
2,27,92064,2.1206236680348716,0.016666666666666666
2,44,92064,2.595384008354611,0.015625
2,28,92064,2.8127693763146033,0.016826923076923076
2,46,92064,4.655881484349568,0.0
2,1,92064,4.17894424890217,0.024671052631578948
2,8,92064,3.5551394715028652,0.03125
2,4,92064,2.6797275940577188,0.40625
2,24,92064,4.854450583457947,0.0
2,25,92064,3.5561161041259766,0.0
2,43,92064,3.364676523208618,0.0
2,40,92064,3.733757105740634,0.06392045454545454
2,13,92064,3.0158537493811712,0.034722222222222224
2,41,92064,1.7475291967391968,0.059375
2,12,92064,4.736994457244873,0.0
2,7,92064,2.960044431686401,0.025
2,5,92064,2.551592379808426,0.0419921875
3,46,92064,3.7647018829981485,0.0
3,20,92064,5.414633095264435,0.0
3,38,92064,0.9560243276988759,0.5808823529411765
3,17,92064,1.983749896287918,0.24609375
3,43,92064,3.0592957496643067,0.0
3,42,92064,2.040989398956299,0.35625
3,27,92064,1.9429956038792928,0.13333333333333333
3,4,92064,2.2864129741986594,0.3776041666666667
3,21,92064,2.316627150774002,0.340625
3,34,92064,2.8050975907932627,0.3693181818181818
3,30,92064,3.71191343665123,0.037109375
3,7,92064,2.4255770683288573,0.13541666666666666
3,1,92064,4.012037227028294,0.014802631578947368
3,18,92064,3.9874022960662843,0.0
3,13,92064,2.793320655822754,0.14583333333333334
3,36,92064,4.205048186438424,0.0
3,40,92064,3.264240264892578,0.07244318181818182
3,39,92064,2.8083779601489796,0.19852941176470587
3,10,92064,2.0978234447538853,0.4638671875
3,6,92064,2.9793278513283563,0.032327586206896554
3,15,92064,5.41817202934852,0.0
3,25,92064,3.1942138969898224,0.0
3,2,92064,2.8265678678240094,0.12321428571428572
3,0,92064,5.591650525728862,0.0
3,37,92064,2.3058467467625934,0.4395833333333333
3,11,92064,3.309642718388484,0.03125
3,44,92064,2.2460950944158764,0.15885416666666666
3,29,92064,1.5533427000045776,0.2604166666666667
3,23,92064,0.894044871131579,0.5755208333333334
