Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
318.064948,1,0.160628,172.92497650715467,0.4510485058922559,0.829427
433.878183,2,0.09976,118.58031033860553,0.4985897858180467,0.798295
317.772793,3,0.105426,129.35857142068323,0.4102621610845295,0.829545
400.270663,4,0.100361,157.16757776335422,0.3075263047138047,0.824074
368.091945,5,0.100532,105.78207551376556,0.3562199678975995,0.605769
372.821032,6,0.102593,110.20928953586444,0.27397727272727274,0.450758
354.789579,7,0.156336,120.33473106298115,0.4261498205741627,0.775568
397.456445,8,0.244591,139.09546182388556,0.5212153175057208,0.648026
407.664818,9,0.18853,122.74062082293702,0.47826574526731847,0.707386
404.590313,10,0.180288,145.70072065710588,0.47846896619779916,0.825658
415.414226,11,0.108516,155.40997393989872,0.3703125,0.848958
362.950675,12,0.229224,136.60984591163262,0.5079979066985646,0.661932
323.491769,13,0.223472,117.47436954502035,0.46842803030303026,0.640625
372.783345,14,0.211453,154.61638819995764,0.6388706973804228,0.842391
388.386616,15,0.161229,121.00202477644743,0.4410915071770335,0.772727
386.475574,16,0.235062,174.37829566778086,0.6993547404159532,0.814145
397.242277,17,0.263908,118.81881164192815,0.5155699254025913,0.651316
355.539643,18,0.253091,124.95455173782186,0.4549256690185609,0.602865
466.865943,19,0.232229,129.87566169225087,0.466367319023569,0.585648
337.659082,20,0.210508,127.14377688270865,0.46312499999999995,0.757102
