Server round,Layer,Similarity
1,0,0.9992986951512011
1,1,0.9297166103371634
1,2,0.9996491127765038
1,3,0.8722720395579326
1,4,0.9976767558895511
1,5,0.8188517349972256
1,6,0.8809453899505241
1,7,0.17363121202103826
2,0,0.9975082333516195
2,1,0.9084752826665742
2,2,0.9994222693857703
2,3,0.9122140833230988
2,4,0.9965889010179021
2,5,0.9082185669564294
2,6,0.8996490313004247
2,7,0.3189173623046164
3,0,0.9988284542850155
3,1,0.9853213550375232
3,2,0.9995210320403761
3,3,0.9240810863254861
3,4,0.9962923718874648
3,5,0.8782116430197328
3,6,0.8786480609498885
3,7,0.3516564623172296
4,0,0.9976948559102926
4,1,0.9616029348677074
4,2,0.9992756543844928
4,3,0.9506480526380364
4,4,0.9957345260995035
4,5,0.917162237226326
4,6,0.9004628832440792
4,7,0.46066256035721587
5,0,0.9988920875878508
5,1,0.9919703500366047
5,2,0.9992343356858712
5,3,0.9879664201387474
5,4,0.9978537219099716
5,5,0.9505437467678578
5,6,0.9642497074446418
5,7,0.6679126443210074
6,0,0.9993661156571275
6,1,0.9938240603501005
6,2,0.9991351201063372
6,3,0.9945699436355698
6,4,0.9976241485344071
6,5,0.9751857685631862
6,6,0.9666120073285883
6,7,0.831230853134028
7,0,0.9993119365473121
7,1,0.9888829088969144
7,2,0.9990716312994105
7,3,0.9874452546128932
7,4,0.9962214405230306
7,5,0.9359739226376287
7,6,0.9432324439838874
7,7,0.709057376313527
8,0,0.9995648840184841
8,1,0.9908225290549066
8,2,0.9990981593545567
8,3,0.989487517569975
8,4,0.9957934143272498
8,5,0.9467023853715221
8,6,0.9515418725762478
8,7,0.7625681926334789
9,0,0.9996805655423078
9,1,0.9960461468497689
9,2,0.9990083577586327
9,3,0.9959495444274719
9,4,0.9977921540782105
9,5,0.9801054988064885
9,6,0.9758347729252052
9,7,0.9044186156619821
10,0,0.9996957994860945
10,1,0.9931083295687703
10,2,0.998875404781538
10,3,0.9944818459439398
10,4,0.9968579129482635
10,5,0.9758608163204938
10,6,0.9675541144381196
10,7,0.8669526346207993
11,0,0.9995205198001811
11,1,0.9932486234624104
11,2,0.998750523271938
11,3,0.9920572032642175
11,4,0.9954296388939387
11,5,0.9614285143779293
11,6,0.9650477456172473
11,7,0.8124685244040492
12,0,0.999634726628852
12,1,0.9954584215820265
12,2,0.998368361793086
12,3,0.9932768634526128
12,4,0.9969004136143843
12,5,0.971805604937074
12,6,0.9803310282674377
12,7,0.8739884502965444
13,0,0.9996773494215562
13,1,0.9945399861151764
13,2,0.9988344768989025
13,3,0.994432800006797
13,4,0.9976359551659431
13,5,0.9804869279529916
13,6,0.9902250871101393
13,7,0.9193219417595042
14,0,0.9995419993314029
14,1,0.9950719932208484
14,2,0.9984549206311146
14,3,0.9943993197756918
14,4,0.9967119322302075
14,5,0.9814877249261803
14,6,0.9827680619380214
14,7,0.920527316446058
15,0,0.9995822537967783
15,1,0.9955216720927146
15,2,0.9982248274891122
15,3,0.9937861116957557
15,4,0.9955180922538402
15,5,0.9724186954158799
15,6,0.9772735316098616
15,7,0.8880702132991289
16,0,0.9997479973967227
16,1,0.997197268925695
16,2,0.9988085596557693
16,3,0.996194801387884
16,4,0.997733056524868
16,5,0.9836852218970883
16,6,0.9878838003169009
16,7,0.9366776188063209
17,0,0.999649980961203
17,1,0.9971077638885055
17,2,0.9986172877024949
17,3,0.9949299709166054
17,4,0.997053509381824
17,5,0.9790666292688114
17,6,0.990632019246573
17,7,0.9336461498176615
18,0,0.9997381852227701
18,1,0.996608826334274
18,2,0.9984290494116298
18,3,0.9956388100430328
18,4,0.995722831887974
18,5,0.9729604172566177
18,6,0.978430330771224
18,7,0.9064945819699467
19,0,0.9997053566916648
19,1,0.9973238119476443
19,2,0.9979494897649147
19,3,0.9955399942302933
19,4,0.9966742261020373
19,5,0.9806886585477712
19,6,0.9867775493176216
19,7,0.9356277542873489
20,0,0.9997463177834761
20,1,0.9974665685823257
20,2,0.99833885031723
20,3,0.996663004250295
20,4,0.9969029864907899
20,5,0.9838138533416013
20,6,0.9893263504666933
20,7,0.9525740180685344
