Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
9.94481,1,0.10214,75.67051935859828,0.26307163231505337,0.391447
13.262224,2,0.125257,92.08652181508432,0.33114486208236216,0.497596
9.714993,3,0.128339,70.15944341284357,0.2437459032195874,0.550987
13.231822,4,0.224058,83.51962344263771,0.3858214428115744,0.532738
13.079078,5,0.27363,69.77506718018981,0.39408547410192146,0.519737
13.136066,6,0.261473,112.94560637758335,0.49644978183581123,0.700893
13.466158,7,0.230051,119.48358673893247,0.49195336826915775,0.782986
13.14359,8,0.317209,87.52820973834665,0.4628149920255183,0.654605
13.975574,9,0.284161,93.45077581272399,0.5184628237259816,0.638158
13.128532,10,0.349572,85.8010926503853,0.5177575348627981,0.552083
13.238375,11,0.259589,87.1805024073617,0.4190732513100934,0.569079
13.189382,12,0.381507,100.97950287063212,0.5432762595591543,0.602163
9.897703,13,0.430822,71.80278546128974,0.5162380382775119,0.578125
9.763264,14,0.411644,106.59896810007122,0.557353720840563,0.652644
14.485033,15,0.354452,93.77579645089665,0.5356624557717824,0.583882
14.391989,16,0.394863,100.40687227476015,0.5622525865946918,0.644231
9.966264,17,0.409932,117.59651355376144,0.5875216285907074,0.769345
13.176442,18,0.412586,86.89791424424409,0.5631304824561404,0.618421
13.273266,19,0.423288,124.98503910468644,0.621209654745839,0.682292
9.794577,20,0.39589,83.21634454841188,0.5683623120300753,0.643092
