Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
0.458556,1,0.30091,228.298680460488,0.8309843223905723,0.951823
0.279405,2,0.448575,248.12534634736534,0.8607500503220612,0.951823
0.285806,3,0.536315,226.20439319341259,0.863945958681013,0.951823
0.263619,4,0.589457,201.88142559433248,0.8650481173918674,0.951823
0.295568,5,0.649382,192.56131491034225,0.8783358511959056,0.951823
0.259633,6,0.660886,196.04996812037487,0.8596404488727858,0.954427
0.272397,7,0.670416,198.4274363589874,0.8666821063899868,0.951823
0.285913,8,0.75558,180.91281740108963,0.8903728178524373,0.951823
0.260412,9,0.760731,184.12888828209438,0.8916814729654403,0.951823
0.279132,10,0.766484,184.35384454900856,0.8924728577581839,0.951823
0.282472,11,0.768286,179.56265619554637,0.9109586405442384,0.953125
0.281973,12,0.777129,179.17014260194134,0.9102383576568359,0.951823
0.281027,13,0.780306,180.02568566735135,0.9094326416337285,0.951823
0.271463,14,0.78374,178.4131371284077,0.9096893369311847,0.953125
0.268912,15,0.78477,179.8992704265362,0.909465104641735,0.953125
0.269322,16,0.788376,187.38763966708154,0.918757442738421,0.951823
0.265241,17,0.787517,184.57878399209375,0.9097159407621364,0.953125
0.278731,18,0.787775,181.49644624620063,0.9065212640620249,0.951823
0.269136,19,0.791724,182.20260700659583,0.9090435606060605,0.951823
