Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
85.603656,1,0.32658,243.7967596175142,0.8436211069023569,0.951823
84.161974,2,0.468063,232.5552407493755,0.8444733796296295,0.951823
84.941595,3,0.547476,208.62389005097188,0.8466750841750841,0.953125
84.39685,4,0.57658,195.05142911550277,0.8442708333333332,0.953125
84.204566,5,0.659083,195.29830388408394,0.8431581439393939,0.951823
84.314967,6,0.681061,191.98965466920347,0.8741424663299664,0.951823
86.980247,7,0.669729,190.66842292314686,0.8732979134643536,0.951823
85.347989,8,0.739011,184.62784188740332,0.895697701302321,0.953125
85.92202,9,0.756525,183.40130861038043,0.8945324960127591,0.951823
82.929409,10,0.782538,175.95961894707546,0.9061736723421507,0.951823
85.553113,11,0.770433,173.29169051053776,0.894970134032634,0.953125
86.687076,12,0.777902,174.88809993821764,0.9072046895586299,0.951823
82.611559,13,0.784341,174.544722062857,0.907319701953748,0.954427
87.057586,14,0.78683,175.55508394803041,0.9089631948667275,0.951823
86.898643,15,0.789062,177.02612095394284,0.9085718968531469,0.951823
87.520594,16,0.794815,177.82235517504537,0.91415284217594,0.951823
82.683535,17,0.801854,177.88535633941316,0.9210566946640316,0.954427
88.124315,18,0.805975,178.17839375188004,0.9229797715871084,0.951823
83.036768,19,0.804945,177.48059048808688,0.9159085762516469,0.951823
82.670734,20,0.810783,177.71342099008731,0.9170449398880105,0.951823
