Round,Accuracy (%),nt
24,0.4640215916120843,0
24,0.11011518717431304,1
24,0,2
24,0.19791666666666666,3
24,0.3458533653846154,4
24,0.2864583333333333,5
24,0.35631127450980393,6
24,0,7
24,0,8
24,0,9
24,0.27524038461538464,10
24,0.3576388888888889,11
24,0,12
24,0,13
24,0,14
24,0,15
24,0,16
24,0,17
24,0,18
24,0,19
24,0,20
24,0,21
24,0,22
24,0,23
24,0,24
24,0,25
24,0,26
24,0,27
24,0,28
24,0,29
24,0,30
25,0.4849559407465331,0
25,0.17883126212867595,1
25,0.2760416666666667,2
25,0,3
25,0,4
25,0.3414963942307692,5
25,0.3454861111111111,6
25,0.37285539215686275,7
25,0,8
25,0,9
25,0,10
25,0.5396634615384616,11
25,0.3350694444444444,12
25,0,13
25,0,14
25,0,15
25,0,16
25,0,17
25,0,18
25,0,19
25,0,20
25,0,21
25,0,22
25,0,23
25,0,24
25,0,25
25,0,26
25,0,27
25,0,28
25,0,29
25,0,30
26,0.47751192260120834,0
26,0.1471381786045643,1
26,0.3342518472906404,2
26,0,3
26,0,4
26,0,5
26,0.3909254807692308,6
26,0.2777777777777778,7
26,0.3638939950980392,8
26,0,9
26,0,10
26,0,11
26,0.25600961538461536,12
26,0.3628472222222222,13
26,0,14
26,0,15
26,0,16
26,0,17
26,0,18
26,0,19
26,0,20
26,0,21
26,0,22
26,0,23
26,0,24
26,0,25
26,0,26
26,0,27
26,0,28
26,0,29
26,0,30
27,0.4875493293081355,0
27,0.18105878241448095,1
27,0.6302083333333334,2
27,0.3457050492610837,3
27,0,4
27,0,5
27,0,6
27,0.38416466346153844,7
27,0.3324652777777778,8
27,0.4086243872549019,9
27,0,10
27,0,11
27,0,12
27,0.5168269230769231,13
27,0.3732638888888889,14
27,0,15
27,0,16
27,0,17
27,0,18
27,0,19
27,0,20
27,0,21
27,0,22
27,0,23
27,0,24
27,0,25
27,0,26
27,0,27
27,0,28
27,0,29
27,0,30
28,0.48604556764507423,0
28,0.11014706963406322,1
28,0.3389756944444444,2
28,0.2552083333333333,3
28,0.3204895320197044,4
28,0,5
28,0,6
28,0,7
28,0.296875,8
28,0.28125,9
28,0.38350183823529416,10
28,0,11
28,0,12
28,0,13
28,0.2776442307692308,14
28,0.3350694444444444,15
28,0,16
28,0,17
28,0,18
28,0,19
28,0,20
28,0,21
28,0,22
28,0,23
28,0,24
28,0,25
28,0,26
28,0,27
28,0,28
28,0,29
28,0,30
29,0.492358770169562,0
29,0.19654361697330447,1
29,0,2
29,0.36875,3
29,0.6458333333333334,4
29,0.36848830049261083,5
29,0,6
29,0,7
29,0,8
29,0.4148137019230769,9
29,0.3663194444444444,10
29,0.42271752450980393,11
29,0,12
29,0,13
29,0,14
29,0.5012019230769231,15
29,0.3975694444444444,16
29,0,17
29,0,18
29,0,19
29,0,20
29,0,21
29,0,22
29,0,23
29,0,24
29,0,25
29,0,26
29,0,27
29,0,28
29,0,29
29,0,30
30,0.4727262136734793,0
30,0.12202473160949605,1
30,0.4114583333333333,2
30,0,3
30,0.45,4
30,0.19791666666666666,5
30,0.2661637931034483,6
30,0,7
30,0,8
30,0,9
30,0.2540564903846154,10
30,0,11
30,0.3818933823529412,12
30,0,13
30,0,14
30,0,15
30,0.29086538461538464,16
30,0.3333333333333333,17
30,0,18
30,0,19
30,0,20
30,0,21
30,0,22
30,0,23
30,0,24
30,0,25
30,0,26
30,0,27
30,0,28
30,0,29
30,0,30
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,0,28
0,0,29
0,0,30
1,0.13857801470316608,0
1,0,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,26
1,0,27
1,0,28
1,0,29
1,0,30
2,0.21126238623903767,0
2,0.04580506383332733,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
2,0,21
2,0,22
2,0,23
2,0,24
2,0,25
2,0,26
2,0,27
2,0,28
2,0,29
2,0,30
3,0.21228465334724264,0
3,0.07103862378284646,1
3,0.0857142857142857,2
3,0,3
