Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
0.479188,1,0.189924,158.6588682940232,0.7266933497536947,0.84375
0.374165,2,0.32133,236.13780822197722,0.8397256171021631,0.953804
0.365125,3,0.313885,204.7404526449171,0.8264733258370814,0.952446
0.363885,4,0.473511,229.5553284809987,0.8782569875776398,0.952446
0.347494,5,0.469356,231.86586752099157,0.866951568858428,0.952446
0.359447,6,0.464162,223.96465648074414,0.8695593274791176,0.952446
0.363273,7,0.496711,235.9696104681107,0.8721809407796102,0.952446
0.351463,8,0.521814,234.64718867910364,0.8735802634397087,0.952446
0.342081,9,0.544321,224.3754019219895,0.8834717016491753,0.951087
0.366633,10,0.642313,278.937672188083,0.9138057013160086,0.982639
0.347115,11,0.638418,278.54871290231017,0.9134405193236714,0.983507
0.355694,12,0.711825,292.21850441234494,0.9152496668332499,0.982639
0.378218,13,0.715374,291.26212273939973,0.9133746668332501,0.982639
0.334246,14,0.715461,291.27539893491064,0.9132369232050642,0.982639
0.349561,15,0.717105,292.9244671996946,0.9119869232050639,0.982639
0.360256,16,0.747057,288.00799219210825,0.9136464059636848,0.982639
0.368504,17,0.760474,286.3198351685994,0.9142714059636848,0.982639
0.368138,18,0.760648,292.2201520839222,0.9140498565821258,0.982639
0.334723,19,0.762639,292.4306584239802,0.9140774404464433,0.982639
0.3782,20,0.76991,295.76545503079757,0.9211167723429952,0.982639
