Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
7.252408,1,0.157524,89.98159534038058,0.349469376566416,0.410156
7.181596,2,0.245329,94.82271616021131,0.42488760964912287,0.507812
7.023971,3,0.293308,92.76534913425378,0.4513945374800638,0.526563
8.315003,4,0.324898,110.0518514155941,0.49407984449760767,0.525
7.134594,5,0.370839,116.65216457485904,0.501251096491228,0.625
7.255181,6,0.452021,97.58907469589,0.5755342348927874,0.642188
7.085698,7,0.472486,103.05561605269263,0.6081776315789474,0.645312
7.110259,8,0.441916,126.11526473825442,0.5969643141945774,0.625
7.108872,9,0.479025,118.85809816752075,0.6146022727272726,0.689063
7.120928,10,0.470109,99.55983125739014,0.6185964912280701,0.696875
7.152383,11,0.537959,90.20192625437663,0.6344599780701754,0.709375
8.990706,12,0.53091,111.02855488566894,0.6441447368421052,0.710938
7.024668,13,0.565048,102.55296192699652,0.6520646929824562,0.714063
7.106713,14,0.580333,102.42026166730878,0.6518386164274322,0.717187
7.028489,15,0.596298,99.89939939759398,0.6808717105263158,0.713816
7.062154,16,0.608865,97.98188608105072,0.6827850877192982,0.715461
7.119276,17,0.610649,100.73652515349137,0.6938980263157895,0.720313
7.095991,18,0.606488,101.09990108798327,0.6837938596491229,0.721875
7.187692,19,0.612857,97.80504843820691,0.6915131578947368,0.728125
7.167836,20,0.621264,100.26993567366043,0.6916666666666667,0.734375
