Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1,Norm
4.418758,1,0.186145,351.6410776630057,0.6750702728725494,0.725581,[]
3.736043,2,0.351703,406.6839067383906,0.7658210338064322,0.845246,[]
3.551986,3,0.493942,384.9492011941316,0.8196573845315381,0.841311,[]
3.543811,4,0.636105,378.7148531547185,0.8668888018381319,0.906892,[]
3.514025,5,0.754605,310.85935726627247,0.8770486682888219,0.903022,[]
3.515965,6,0.753656,316.37513729748105,0.8832792673223194,0.927618,[]
3.519264,7,0.798169,272.44024574207094,0.8989802119202139,0.931076,[]
3.480349,8,0.807892,217.07981826968623,0.9027816884828226,0.935913,[]
3.477783,9,0.812108,238.1289356630143,0.914056684038347,0.929867,[]
3.509712,10,0.817388,245.7515971463868,0.9209100071743546,0.943781,[]
3.6547,11,0.842037,233.49828693161754,0.9184566483123957,0.944483,[]
3.449974,12,0.846063,225.51044321716012,0.9233278049281101,0.95643,[]
3.471895,13,0.862623,232.69151252248116,0.9233491168908781,0.95643,[]
3.453973,14,0.857306,228.84719792909854,0.9220469761618201,0.944918,[]
3.429502,15,0.870751,234.10427163979733,0.940953597605861,0.946885,[]
3.496724,16,0.870789,244.14038481988186,0.9392555137585588,0.960647,[]
3.451014,17,0.885639,227.9148744597421,0.9367198684436808,0.958538,[]
3.464387,18,0.890653,235.24380969538817,0.9446343243400339,0.957836,[]
3.448805,19,0.893653,219.85915377804946,0.9498877472054019,0.970485,[]
3.457679,20,0.88883,225.4391048598268,0.9508684736868827,0.966971,[]
3.729591,21,0.899009,238.26319480775877,0.9514730867540532,0.965566,[]
3.44497,22,0.902731,239.15860845890538,0.9494930990382098,0.965566,[]
3.428957,23,0.910175,239.9728317956014,0.9491217664637974,0.963934,[]
3.475659,24,0.899654,262.8387861408586,0.9504582497869183,0.961311,[]
3.477485,25,0.901212,250.92915334811138,0.958762615197629,0.970485,[]
3.473485,26,0.901857,243.64007777867747,0.9555766772686691,0.973296,[]
3.48392,27,0.908276,247.7180049976182,0.9585316261498422,0.975404,[]
3.461217,28,0.91196,239.94092502113932,0.9581084856490858,0.972593,[]
3.479627,29,0.913138,242.56502221054046,0.9566471848974374,0.96,[]
3.479577,30,0.907327,248.59635455895165,0.9529679362452363,0.962989,[]
3.450664,31,0.914657,256.97741145867275,0.9614485187562216,0.978215,[]
3.494039,32,0.922557,247.207099412618,0.9616010491809506,0.97681,[]
3.530676,33,0.916898,250.75674965990447,0.9620527150640517,0.972593,[]
3.848619,34,0.922139,250.36862323382294,0.9615285160713058,0.973999,[]
3.495249,35,0.92043,252.68994835568748,0.9581309104180582,0.969782,[]
3.48947,36,0.916328,241.5539484256053,0.957556702424248,0.974701,[]
3.485715,37,0.922253,247.15296882699997,0.9543059786393766,0.967674,[]
3.453422,38,0.921759,247.00880045051025,0.954601422269105,0.974701,[]
3.465011,39,0.925633,241.91247900842154,0.9629406605403906,0.981258,[]
3.456354,40,0.924038,243.53777427742088,0.9627524442097091,0.974607,[]
3.532318,41,0.930647,246.45309391444042,0.9651077276462852,0.977025,[]
3.475483,42,0.930381,249.2120783589752,0.9647242869489295,0.976421,[]
3.44646,43,0.931672,245.16902332880474,0.9654133503370819,0.96977,[]
3.457185,44,0.935129,242.21880088052623,0.9652085689401565,0.969166,[]
3.433861,45,0.932812,241.90762699840616,0.9650373496077431,0.968377,[]
3.45612,46,0.925519,249.75175675057824,0.9666407801347013,0.980048,[]
3.498379,47,0.933154,244.14575052619696,0.9631258103043766,0.976421,[]
3.465073,48,0.932052,246.90970009296922,0.9636412377970578,0.974002,[]
3.485414,49,0.930419,249.3642466353186,0.9630870654735194,0.972793,[]
3.900577,50,0.923658,256.2884068778765,0.9699117664559394,0.980048,[]
