Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1,Norm
4.292664,1,0.149555,81.74692654773021,0.31269719044794264,0.395963,[]
3.357924,2,0.200017,86.55108318213007,0.35463743682305193,0.395963,[]
3.122356,3,0.20493,85.21530085612558,0.3623301390129078,0.395963,[]
3.123083,4,0.215172,80.74131532245434,0.35963021643558185,0.395963,[]
3.028915,5,0.239903,61.48697016441776,0.3476523496473999,0.395963,[]
3.07434,6,0.268549,72.9916947330311,0.38618102368762663,0.423913,[]
3.026192,7,0.291531,61.4080410044157,0.38993487996829357,0.438045,[]
3.071934,8,0.286618,69.88841105648346,0.3994234926612088,0.417103,[]
3.058891,9,0.308435,67.88048320393719,0.412567319371123,0.451863,[]
3.095751,10,0.332168,60.856778587105644,0.41296492165278503,0.447073,[]
3.345767,11,0.342327,71.05594626771217,0.43907121398707005,0.494396,[]
3.076896,12,0.356899,63.07939441687753,0.4262010519123002,0.460772,[]
3.065985,13,0.33325,75.3066398134985,0.4365282879630188,0.462937,[]
3.14254,14,0.355733,60.23985391748556,0.4479719056230037,0.482919,[]
3.03774,15,0.342077,56.41134637641616,0.43915402045335333,0.492147,[]
3.029422,16,0.344325,68.3555959669726,0.463471150581605,0.500873,[]
3.051882,17,0.353402,52.57623037076736,0.45795405205147477,0.490654,[]
3.043822,18,0.368973,70.46522191833358,0.48763121794998404,0.536737,[]
3.063431,19,0.405862,61.67827818608428,0.5028860464465822,0.537522,[]
3.00051,20,0.402781,56.38197850377371,0.48169444180793064,0.534031,[]
3.055,21,0.383629,56.81837290876957,0.48376939618310943,0.516579,[]
3.292794,22,0.379465,73.39705375558341,0.5034328179111057,0.532286,[]
3.052549,23,0.428345,63.91916770421843,0.5040989961043295,0.539228,[]
3.089185,24,0.434341,73.14683861931424,0.5418044493387862,0.596513,[]
3.031954,25,0.431426,70.17654522702011,0.5130605198691759,0.570361,[]
3.0757,26,0.432842,83.2291415310767,0.5621521526653945,0.599004,[]
3.048545,27,0.438421,83.56606667780889,0.5577979813277796,0.60274,[]
3.042026,28,0.442418,67.54722422128091,0.5386692584598811,0.598604,[]
3.034354,29,0.452994,77.35050096799631,0.5638683688158244,0.595113,[]
3.061685,30,0.446665,89.12216334896725,0.5747956143519286,0.595268,[]
3.065418,31,0.458406,84.20562629658424,0.5616620039593154,0.590286,[]
3.100275,32,0.480723,69.93659628549275,0.5695860402479539,0.616056,[]
3.052927,33,0.473645,69.02274987277745,0.5612270742919936,0.581152,[]
3.016121,34,0.461904,75.1872828342666,0.5610320922124735,0.595113,[]
3.461972,35,0.472646,72.00180553291702,0.5572813988210217,0.585305,[]
3.136251,36,0.471396,69.27082719298218,0.5694117972547432,0.585305,[]
3.01185,37,0.45749,68.85136164230887,0.5558908210990394,0.577622,[]
3.046669,38,0.474144,62.885689946123684,0.5509652861749348,0.56538,[]
3.055952,39,0.484303,66.59023952502348,0.5642002061710721,0.584642,[]
3.013826,40,0.494462,69.93918787060656,0.5826830980750326,0.605585,[]
3.028485,41,0.482805,74.78963831975656,0.580472072349113,0.612565,[]
3.063084,42,0.475144,71.46894430450193,0.5682717624232311,0.599004,[]
3.054725,43,0.500291,75.32688762984968,0.5794871017542604,0.60274,[]
3.027407,44,0.487301,83.1675417455632,0.5833074652898524,0.597758,[]
3.023917,45,0.490632,83.08814596559488,0.5853483310396252,0.603839,[]
3.048523,46,0.47506,86.39032063836781,0.5764159191294252,0.600249,[]
3.048567,47,0.461071,73.7958501543278,0.5555058017838919,0.586957,[]
3.021424,48,0.504372,73.03784977667402,0.5957845243418497,0.60307,[]
3.050174,49,0.478391,83.33359166626624,0.5920399530384944,0.630841,[]
3.063169,50,0.488717,71.93988810110841,0.583147753589819,0.597758,[]
