Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
10.090029,1,0.102032,116.69527625401125,0.3120946898496241,0.520833
13.196071,2,0.126622,92.55499716384848,0.3053794144452039,0.556548
13.598588,3,0.240352,90.65697711704269,0.4113959931798806,0.5
9.923049,4,0.207138,84.39200199070999,0.43917475981620724,0.591146
10.089769,5,0.292862,109.79640249115633,0.4843776336621605,0.669643
13.177799,6,0.351776,107.20541031123382,0.49378434417245154,0.532609
13.059341,7,0.310195,124.0315584841213,0.5419385964912281,0.729167
13.30866,8,0.34375,124.78505519492309,0.5673312186716792,0.652083
14.194222,9,0.253757,89.66794298967719,0.3947209845162148,0.569602
13.794701,10,0.407531,113.7208314250296,0.5674651382292047,0.631793
13.274024,11,0.372524,135.62532027611954,0.5630355192348678,0.611413
13.31032,12,0.313781,117.92577114439405,0.5499108187134503,0.802083
13.62104,13,0.281677,118.87324131191174,0.4988895059618744,0.659091
13.276457,14,0.449624,118.43821173928622,0.5834103641456583,0.623512
9.80693,15,0.421448,114.38732447260055,0.5921286993058092,0.669643
9.767632,16,0.374573,77.49662895894247,0.57375078320802,0.695312
13.673367,17,0.366889,114.75812607392994,0.6363617376775272,0.831845
12.967576,18,0.477459,108.2572861289253,0.5726588665357448,0.599185
13.281941,19,0.477117,106.09118719290495,0.5788795518207281,0.790179
14.064956,20,0.392247,130.96911849745342,0.5803530578898226,0.744048
