Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1,Norm
4.369851,1,0.149555,81.74692654773021,0.31269719044794264,0.395963,[]
3.360633,2,0.194937,84.78825095495249,0.3445214384717595,0.395963,[]
3.190172,3,0.194354,88.85386879590557,0.35102517300112845,0.395963,[]
3.184826,4,0.238654,75.36053343760247,0.3647304014965102,0.395963,[]
3.144056,5,0.259222,61.317432268482996,0.37290820432264843,0.417702,[]
3.162074,6,0.299775,67.03730304837748,0.3844833160321127,0.401396,[]
3.203319,7,0.303273,67.13560903127342,0.40059941687871914,0.444099,[]
3.128303,8,0.297277,67.10476883202863,0.40888404458359445,0.452055,[]
3.152707,9,0.320759,72.02110801702511,0.4203045771451167,0.494396,[]
3.167003,10,0.34724,64.55966232873278,0.43764201639972555,0.485166,[]
3.41452,11,0.345824,72.00296868879782,0.4642207162967608,0.503113,[]
3.140163,12,0.350321,70.50125885400912,0.4530415252607449,0.494396,[]
3.159937,13,0.34699,57.85609302398495,0.432829122430609,0.465734,[]
3.156519,14,0.362312,45.25756842783315,0.42280656497497066,0.474695,[]
3.088607,15,0.33733,58.95122984298123,0.4444617876886653,0.525305,[]
3.151515,16,0.378633,60.72336864832189,0.4706174276460354,0.50934,[]
3.083576,17,0.398118,57.3946643861605,0.4774004829806143,0.51087,[]
3.16643,18,0.391873,74.46146654478409,0.48695806608471504,0.516579,[]
3.155335,19,0.393372,70.87989841979177,0.4791534019320388,0.531756,[]
3.110215,20,0.434591,64.68962436125287,0.4935428189476174,0.540473,[]
3.118469,21,0.400283,70.88249078580691,0.5030772624610629,0.566625,[]
3.429536,22,0.375552,69.08798737841478,0.5001813391243877,0.56719,[]
3.148852,23,0.422433,60.95348636460428,0.4998595749085413,0.53986,[]
3.146679,24,0.426347,74.70006693437429,0.5018525875126348,0.511344,[]
3.128584,25,0.43151,70.12838227137425,0.525035109296064,0.572852,[]
3.124861,26,0.426513,83.55172050891592,0.5503692350325922,0.592777,[]
3.157694,27,0.445582,81.12981880911605,0.5411453222053783,0.584642,[]
3.158195,28,0.441585,73.1787366657829,0.5346591371336753,0.581152,[]
3.145458,29,0.44833,79.56041729402881,0.5475132526773525,0.572426,[]
3.148159,30,0.460904,86.52275712204275,0.5632541244308966,0.611457,[]
3.098322,31,0.481222,78.80639250720716,0.5801912285758479,0.597758,[]
3.139743,32,0.451911,67.05167783135632,0.5459866346453562,0.602094,[]
3.097516,33,0.438671,76.52607398788992,0.5548276980150819,0.622665,[]
3.146984,34,0.451078,76.53513898857177,0.5664362682702828,0.599004,[]
3.54171,35,0.481139,65.48503645872087,0.5599533246306119,0.590343,[]
3.154811,36,0.486468,68.16003227698765,0.5769086026839617,0.588509,[]
3.130506,37,0.470897,56.035591368343745,0.5584743172214484,0.584642,[]
3.101887,38,0.481056,57.603190015831586,0.5664933607480278,0.621291,[]
3.142967,39,0.497127,62.47999679897559,0.5793356714980533,0.619546,[]
3.207645,40,0.495295,59.353517166213486,0.5709671396561771,0.591623,[]
3.122601,41,0.49313,77.84657988633796,0.5669625141050851,0.591623,[]
3.13831,42,0.494129,83.5219132922612,0.5952526191142109,0.626168,[]
3.135655,43,0.489133,88.2378036898018,0.5942549439884339,0.638629,[]
3.122358,44,0.47531,74.75118728154088,0.5894196839769377,0.61838,[]
3.160617,45,0.476143,72.08182850066999,0.5930010958198245,0.630841,[]
3.137514,46,0.500125,64.49891471955169,0.5927182643930782,0.605263,[]
3.150022,47,0.481722,52.33820306430094,0.5750503569923209,0.61082,[]
3.13239,48,0.508285,62.71411324414944,0.5843893803594385,0.613707,[]
3.143241,49,0.509201,59.86307292480065,0.5809060845520027,0.607477,[]
3.145035,50,0.491964,74.7244270637119,0.5862420044109196,0.633508,[]
