Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
9.985506,1,0.194092,132.21583679726115,0.47568500578369,0.717262
9.718143,2,0.29238,149.88858362130188,0.5671444235588973,0.739583
9.85877,3,0.421918,137.14495980530967,0.6517334200886833,0.758929
9.726176,4,0.487329,137.70308638516423,0.7158927366493155,0.838542
9.73693,5,0.553596,122.79702765132386,0.7457084216952637,0.836806
9.945589,6,0.549914,135.19107773814068,0.7545602789023841,0.850694
9.718766,7,0.581336,126.12156833785409,0.7612896423751686,0.838542
11.64821,8,0.635702,110.64125586778198,0.7887139724310777,0.869792
9.828229,9,0.641267,111.80406969337028,0.8009868421052632,0.875
9.794042,10,0.650342,111.4682017438157,0.8057304720133669,0.873264
9.807084,11,0.660959,107.49883720301351,0.8100851086048454,0.883681
9.754494,12,0.666781,113.5343119942161,0.8081323099415204,0.887153
9.808422,13,0.680394,109.88096968993312,0.8117402882205514,0.880208
9.772899,14,0.672003,108.01086750878358,0.8084978070175438,0.880208
9.790551,15,0.677397,110.13736877191137,0.8268692564745196,0.888889
9.816129,16,0.683476,113.06691602763382,0.8290674603174603,0.881944
10.25518,17,0.686644,114.28123205496168,0.8334586466165413,0.875
10.544976,18,0.69512,112.55819605874999,0.836202485380117,0.887153
9.781763,19,0.700599,112.44655397120893,0.8433270676691729,0.885417
9.89145,20,0.701969,112.1813152891336,0.8421600877192983,0.890625
