Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
0.399119,1,0.246909,217.447372943432,0.805960648148148,0.826705
0.257974,2,0.337397,234.56544928867933,0.8356213859610598,0.892045
0.257204,3,0.411745,252.83642933722982,0.8583785088200848,0.951823
0.276985,4,0.500773,234.57371442683004,0.8519370562509149,0.951823
0.280254,5,0.608001,211.98370220373073,0.8633729382031012,0.954427
0.260662,6,0.630752,204.60383060930212,0.8812870553359684,0.954427
0.258206,7,0.655134,198.046579117136,0.861701137278583,0.951823
0.252102,8,0.712225,196.9788313499702,0.8877390385882235,0.951823
0.250007,9,0.722012,193.31774362432435,0.8873649222154656,0.951823
0.271559,10,0.72682,200.4475243049911,0.8905642620870738,0.953125
0.25212,11,0.744505,188.99322739188298,0.8882301093024061,0.953125
0.269411,12,0.743819,186.99267365327444,0.8795053112648221,0.953125
0.266733,13,0.750429,187.15380706787667,0.885495788476874,0.951823
0.254495,14,0.750172,187.14189803461971,0.8877799215587044,0.953125
0.264444,15,0.755838,186.1949515964383,0.8913208960423635,0.951823
0.2437,16,0.761418,184.69013915204027,0.9032826435340022,0.953125
0.246921,17,0.767685,183.52381316875474,0.9157963246707526,0.953125
0.240894,18,0.771377,180.8745076012648,0.9169499657950745,0.951823
0.270451,19,0.776271,182.01782879707142,0.9177833316330885,0.951823
0.250437,20,0.768201,179.9056419348765,0.9167915888221237,0.951823
