Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
10.033913,1,0.245707,219.46273032111853,0.8100273569023569,0.825231
9.824122,2,0.335422,229.56595457515033,0.804871632996633,0.824074
9.886286,3,0.454413,241.65104489738917,0.8513543496559801,0.953125
9.961357,4,0.523094,233.7020057680293,0.8578131862099252,0.953125
9.756175,5,0.632383,207.63889327387582,0.8574518966842337,0.951823
10.223693,6,0.652129,197.40607893375523,0.8689630681818181,0.951823
9.977407,7,0.664921,180.42418768003364,0.8763086595117844,0.951823
9.752448,8,0.735405,180.4635974372671,0.8872587444258639,0.951823
9.804393,9,0.718063,190.35955452774098,0.8808254076086957,0.951823
10.688918,10,0.74751,185.3119734393868,0.8855552178680396,0.951823
9.937212,11,0.755924,179.8966022469574,0.8978702287296038,0.953125
9.963601,12,0.737294,178.8810778142842,0.8948536630941522,0.951823
10.233784,13,0.742016,175.20824038840183,0.8944074155011655,0.951823
9.893334,14,0.738496,178.14064668121085,0.9016963505244755,0.954427
9.892178,15,0.754979,180.35301494568924,0.8911522071678322,0.954427
9.908788,16,0.762878,172.637800032322,0.8957510964912281,0.951823
9.85221,17,0.762878,174.89885648568432,0.9030642704216074,0.953125
9.88854,18,0.767428,170.85797464561028,0.9130791875696767,0.951823
9.843313,19,0.774983,170.28513587509627,0.9106298932046215,0.953125
9.935856,20,0.792754,179.20131137913026,0.916253277972028,0.951823
