Round,Accuracy (%),nt
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
1,0.6532096674876847,0
1,0.15167559597332017,1
1,0,2
1,0,3
1,0,4
1,0,5
1,0,6
1,0,7
1,0,8
1,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,14
1,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
2,0.733646197734466,0
2,0.6479910714285714,1
2,0.05717833719135802,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
3,0.6224479166666667,0
3,0.7260391483945527,1
3,0.8151785714285715,2
3,0.10892795138888892,3
3,0,4
3,0,5
3,0,6
3,0,7
3,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
4,0.5259375000000001,0
4,0.67578125,1
4,0.6308749141054473,2
4,0.4816964285714286,3
4,0.2259399237914863,4
4,0,5
4,0,6
4,0,7
4,0,8
4,0,9
4,0,10
4,0,11
4,0,12
4,0,13
4,0,14
4,0,15
4,0,16
4,0,17
4,0,18
4,0,19
4,0,20
5,0.733234126984127,0
5,0.4669270833333333,1
5,0.3640625,2
5,0.6627592453773113,3
5,0.1125,4
5,0.07777777777777778,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,0,19
5,0,20
6,0.6785243910782705,0
6,0.7163541666666666,1
6,0.45164930555555555,2
6,0.8046875,3
6,0.5554376132246377,4
6,0,5
6,0.0406298225308642,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,0,13
6,0,14
6,0,15
6,0,16
6,0,17
6,0,18
6,0,19
6,0,20
7,0.646186755952381,0
7,0.6605357142857142,1
7,0.7264583333333332,2
7,0.3321614583333333,3
7,0.7734375,4
7,0.6793478260869565,5
7,0,6
7,0.04978918650793651,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,0,15
7,0,16
7,0,17
7,0,18
7,0,19
7,0,20
8,0.61625,0
8,0.6535112152350164,1
8,0.7002827380952381,2
8,0.7538194444444444,3
8,0.32708333333333334,4
8,0.71875,5
8,0.7294497282608696,6
8,0,7
8,0.1105324074074074,8
8,0,9
8,0,10
8,0,11
8,0,12
8,0,13
8,0,14
8,0,15
8,0,16
8,0,17
8,0,18
8,0,19
8,0,20
9,0.775,0
9,0.6194661458333334,1
9,0.5866500378438013,2
9,0.6536607142857143,3
9,0.34375,4
9,0.3145833333333333,5
9,0.625,6
9,0.8271059782608696,7
9,0,8
9,0.040798611111111105,9
9,0,10
9,0,11
9,0,12
9,0,13
9,0,14
9,0,15
9,0,16
9,0,17
9,0,18
9,0,19
9,0,20
10,0.8043717290660225,0
10,0.7593749999999999,1
10,0.6116536458333334,2
10,0.5282396004378763,3
10,0.7849206349206348,4
10,0.6125,5
10,0.3125,6
10,0.7734375,7
10,0.4453125,8
10,0,9
10,0.025770399305555556,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,0,17
10,0,18
10,0,19
10,0,20
11,0.7872751682194616,0
11,0.7698220486111111,1
11,0.7580729166666667,2
11,0.5921223958333334,3
11,0.5824507389162562,4
11,0.40208333333333335,5
11,0.58125,6
11,0.4166666666666667,7
11,0,8
11,0,9
11,0,10
11,0.0008680555555555555,11
11,0,12
11,0,13
11,0,14
11,0,15
11,0,16
11,0,17
11,0,18
11,0,19
11,0,20
12,0.7511848958333334,0
12,0.8541459627329193,1
12,0.7999565972222222,2
12,0.7494791666666667,3
12,0.638671875,4
12,0.4847461685823755,5
12,0.6645833333333333,6
12,0.575,7
12,0.3145833333333333,8
12,0,9
12,0,10
12,0,11
12,0.003472222222222222,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,0,18
12,0,19
12,0,20
13,0.7498170882936508,0
13,0.6348958333333333,1
13,0.8338654891304348,2
13,0.7580674913194444,3
13,0.5708333333333333,4
13,0.5771484375,5
13,0.49318897099069514,6
13,0.32916666666666666,7
13,0.55625,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0.0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,0,18
13,0,19
13,0,20
14,0.6970052083333333,0
14,0.7401336185515873,1
14,0.6494791666666666,2
14,0.8639039855072465,3
14,0.7600802951388889,4
14,0,5
14,0.58203125,6
14,0.6717210591133005,7
14,0.6291666666666667,8
14,0.54375,9
14,0,10
14,0,11
14,0,12
14,0,13
14,0.012152777777777778,14
14,0,15
14,0,16
14,0,17
14,0,18
14,0,19
14,0,20
15,0.6640885416666666,0
15,0.7075520833333333,1
15,0.7651711309523809,2
15,0.6583333333333334,3
15,0.8617527173913043,4
15,0.7296006944444444,5
15,0,6
15,0.466796875,7
15,0.6814963054187192,8
15,0.6895833333333333,9
15,0,10
15,0,11
15,0,12
15,0,13
15,0,14
15,0.0,15
15,0,16
15,0,17
15,0,18
15,0,19
15,0,20
16,0.6666377314814814,0
16,0.7455989583333333,1
16,0.6756510416666667,2
16,0.8086983816964286,3
16,0,4
16,0.8092164855072465,5
16,0.5328125,6
16,0,7
16,0.515625,8
16,0.5580357142857143,9
16,0.30625,10
16,0,11
16,0,12
16,0,13
16,0,14
16,0,15
16,0,16
16,0,17
16,0,18
16,0,19
16,0,20
17,0.7545039682539683,0
17,0.6561631944444445,1
17,0.7148046874999999,2
17,0.6731770833333333,3
17,0.7822265625,4
17,0,5
17,0.8049139492753623,6
17,0.4421875,7
17,0,8
17,0.5625,9
17,0.5700431034482758,10
17,0,11
17,0,12
17,0,13
17,0,14
17,0,15
17,0,16
17,0,17
17,0,18
17,0,19
17,0,20
18,0.702836681547619,0
18,0.7632787698412697,1
18,0.710763888888889,2
18,0.7132161458333334,3
18,0.6519531249999999,4
18,0.74765625,5
18,0,6
18,0.7997622282608696,7
18,0.4828125,8
18,0,9
18,0.515625,10
18,0.7887931034482759,11
18,0,12
18,0,13
18,0,14
18,0,15
18,0,16
18,0,17
18,0,18
18,0,19
18,0,20
19,0.8255185081845238,0
19,0.6880580357142857,1
19,0.7011574074074073,2
19,0.6935763888888888,3
19,0.7050347222222223,4
19,0.5979166666666667,5
19,0.7734375,6
19,0,7
19,0.8349184782608696,8
19,0.425,9
19,0,10
19,0.578125,11
19,0.8114224137931034,12
19,0,13
19,0,14
19,0,15
19,0,16
19,0,17
19,0,18
19,0,19
19,0,20
20,0.7885875496031746,0
20,0.80771484375,1
20,0.6332310267857143,2
20,0.659837962962963,3
20,0.5708333333333333,4
20,0.7356770833333333,5
20,0.5559027777777777,6
20,0.72890625,7
20,0,8
20,0.8096127717391304,9
20,0.5078125,10
20,0,11
20,0.546875,12
20,0.7974137931034483,13
20,0,14
20,0,15
20,0,16
20,0,17
20,0,18
20,0,19
20,0,20
