Time,Server round,Accuracy aggregated,Accuracy std,Top5,Top1
312.877085,1,0.099502,161.03306337519632,0.3464883207070707,0.951823
317.440579,2,0.137964,135.3437383110131,0.561780704754818,0.795455
322.859397,3,0.103365,160.27307946127445,0.35354324494949496,0.949219
319.751554,4,0.118132,92.97182368868538,0.2833536908944517,0.418478
320.286226,5,0.15874,117.1492530919425,0.4651159398897885,0.798828
323.317585,6,0.160371,125.35126644753134,0.34928807303807297,0.526515
323.353216,7,0.122253,110.52266735832973,0.40319851475279106,0.800781
314.040054,8,0.24751,170.37320065080658,0.694696594642962,0.745192
328.414887,9,0.236435,160.0256541933199,0.49218126993620415,0.884115
323.919293,10,0.255752,152.03534950793517,0.5369718720977302,0.769737
326.15563,11,0.117273,159.43716630698125,0.36909722222222224,0.876302
316.395815,12,0.257727,134.07456880408006,0.5171750398724082,0.603693
330.796889,13,0.267771,132.63162330304186,0.46369974415204684,0.597222
321.106837,14,0.244076,100.27775176977194,0.4660709449568145,0.599432
318.693827,15,0.329842,143.8509297849687,0.5234225478468899,0.603618
321.866976,16,0.263221,182.24272276280334,0.7346805773364699,0.824728
323.443302,17,0.290179,144.38247816130598,0.6281492493252362,0.746094
323.558481,18,0.314475,147.43041578995835,0.5396365902615903,0.72338
323.569705,19,0.31499,137.90086112856582,0.5670489987595251,0.65483
323.56125,20,0.313101,147.17515924910697,0.5829704944178629,0.666193
